suburb,rental
Albert Park,495
Middle Park,495
St Kilda West,495
Armadale,420
Carlton North,575
Carlton,320
Parkville,320
Melbourne,350
Collingwood,430
Abbotsford,430
Docklands,400
East Melbourne,450
St Kilda East,380
Elwood,420
Fitzroy,540
Fitzroy North,540
Clifton Hill,540
Flemington,380
Kensington,380
North Melbourne,360
West Melbourne,360
Port Melbourne,595
Prahran,400
Windsor,400
Richmond,460
Burnley,460
South Melbourne,435
South Yarra,400
Southbank,400
St Kilda,370
Toorak,500
Balwyn,530
Blackburn,430
Box Hill,400
Bulleen,480
Templestowe,480
Doncaster,480
Burwood,450
Ashburton,450
Camberwell,450
Glen Iris,450
Canterbury,480
Surrey Hills,480
Mont Albert,480
Chadstone,430
Oakleigh,430
Clayton,395
Doncaster East,495
Donvale,495
Hawthorn East,380
Glen Waverley,480
Mulgrave,480
Hawthorn,370
Kew,475
Mount Waverley,500
Nunawading,420
Mitcham,420
Vermont,450
Forest Hill,450
Burwood East,450
Aspendale,460
Chelsea,460
Carrum,460
Bentleigh,495
Brighton,660
Brighton East,750
Carnegie,395
Caulfield,400
Cheltenham,470
Elsternwick,435
Hampton,600
Beaumaris,600
Malvern,450
Malvern East,400
Mentone,435
Parkdale,435
Mordialloc,435
Murrumbeena,399
Hughesdale,399
Altona,400
Footscray,360
Keilor East,400
Avondale Heights,400
Melton,350
Newport,480
Spotswood,480
St Albans,350
Deer Park,350
Sunshine,350
Sydenham,400
Werribee,360
Hoppers Crossing,360
West Footscray,395
Williamstown,515
Yarraville,480
Seddon,480
Broadmeadows,370
Roxburgh Park,370
Brunswick,411
Coburg,445
Pascoe Vale South,445
Craigieburn,390
Brunswick East,400
Essendon,400
Gladstone Park,400
Tullamarine,400
Keilor,440
Moonee Ponds,410
Ascot Vale,410
Oak Park,380
Glenroy,380
Fawkner,380
Pascoe Vale,410
Coburg North,410
Sunbury,390
Brunswick West,350
Bundoora,410
Greensborough,410
Hurstbridge,410
Eltham,468
Research,468
Montmorency,468
Fairfield,390
Alphington,390
Heidelberg,420
Heidelberg West,420
Ivanhoe,450
Ivanhoe East,450
Mill Park,380
Epping,380
Northcote,490
Preston,400
Reservoir,380
Thomastown,360
Lalor,360
Thornbury,400
Whittlesea,400
Bayswater,410
Boronia,400
Croydon,440
Lilydale,440
Ferntree Gully,430
Ringwood,410
Rowville,470
Wantirna,450
Scoresby,450
Berwick,420
Cranbourne,410
Dandenong,350
Dandenong North,370
Endeavour Hills,370
Narre Warren,400
Hampton Park,400
Noble Park,360
Pakenham,375
Springvale,390
Dromana,470
Portsea,470
Frankston,400
Hastings,440
Flinders,440
Mount Eliza,570
Mornington,570
Mount Martha,570
Seaford,400
Carrum Downs,400
Belmont,420
Grovedale,420
Corio,320
Geelong,380
Newcomb,380
Herne Hill,390
Geelong West,390
Lara,433
Newtown,420
North Geelong,390
Ballarat,340
Mount Clear,365
Buninyong,365
Sebastopol,350
Delacombe,350
Wendouree,370
Alfredton,370
Bendigo,360
Flora Hill,360
East Bendigo,360
Golden Square,369
Kangaroo Flat,369
North Bendigo,360
Bairnsdale,350
Benalla,350
Castlemaine,380
Echuca,360
Hamilton,300
Horsham,320
Mildura,340
Moe,280
Newborough,280
Morwell,260
Ocean Grove,500
Barwon Heads,500
Portland,350
Sale,350
Maffra,350
Seymour,320
Shepparton,330
Swan Hill,290
Torquay,570
Traralgon,360
Wangaratta,360
Warragul,390
Warrnambool,380
Wodonga,370
