name,Suburb,latitude,longitude
"Australian Catholic University, Ballarat Campus",Lake Wendouree,-37.55795560000001,143.8443462
"Australian Catholic University, Melbourne Campus",Fitzroy,-37.8073105,144.9780843
"Charles Darwin University, Melbourne Campus",Melbourne,-37.8130231,144.9606243
CQUniversity Melbourne,Melbourne,-37.81817950000001,144.9543479
"Deakin University, Waurn Ponds Campus",Waurn Ponds,-38.1980218,144.2989393
"Deakin University, Geelong Waterfront Campus",Geelong,-38.1438793,144.3599533
"Deakin University, Melbourne Burwood Campus",Burwood,-37.8445153,145.1122556
"Deakin University, Warrnambool Campus",Warrnambool,-38.39087169999999,142.5384536
"Federation University Australia, SMB Campus",Ballarat Central,-37.5654017,143.857426
"Federation University Australia, Mt Helen Campus",Mount Helen,-37.626441,143.8910952
"Federation University Australia, Arts Academy",Ballarat Central,-37.5609507,143.858931
"Federation University Australia, Gippsland Campus",Churchill,-38.311211,146.429409
"Federation University Australia, Horsham Campus",Horsham,-36.71196339999999,142.1851133
"La Trobe University, Albury-Wodonga Campus",West Wodonga,-36.11140340000001,146.8488051
"La Trobe University, Bendigo Campus",Flora Hill,-36.7790388,144.3012214
"La Trobe University, Bundoora Campus",Bundoora,-37.7218527,145.0505385
"La Trobe University, City Campus",Melbourne,-37.8164092,144.9622694
"La Trobe University, Mildura Campus",Mildura,-34.205484,142.1665775
"La Trobe University, Shepparton Campus",Shepparton,-36.3805003,145.4063541
"Monash University, Caulfield Campus",Caulfield East,-37.8773524,145.0450003
"Monash University, Clayton Campus",Clayton,-37.9139385,145.1317406
"Monash University, Parkville Campus",Parkville,-37.7840053,144.9587458
"Monash University, Peninsula Campus",Frankston,-38.1526486,145.1360385
"RMIT University, Brunswick Campus",Brunswick,-37.7720435,144.9580867
"RMIT University, Bundoora Campus",Mill Park,-37.6768877,145.0727763
"RMIT University, Melbourne City Campus",Melbourne,-37.80833320000001,144.9639386
"Swinburne University of Technology, Croydon Campus",Croydon,-37.801686,145.285759
"Swinburne University of Technology, Hawthorn Campus",Hawthorn,-37.8221504,145.0389546
"Swinburne University of Technology, Wantirna",Wantirna,-37.8741595,145.2336597
"Torrens University Australia, Flinders Street Campus",Melbourne,-37.8170206,144.9683496
University of Divinity,Box Hill,-37.8263223,145.132555
"University of Melbourne, Creswick Campus",Creswick,-37.41996,143.9006805
"University of Melbourne, Dookie Campus",Dookie,-36.382946,145.7055053
"University of Melbourne, Parkville Campus",Parkville,-37.79834589999999,144.960974
"University of Melbourne, Werribee Campus",Werribee,-37.8895125,144.6933239
"University of Melbourne, Burnley Campus",Burnley,-37.82823559999999,145.0221405
"University of Melbourne, Southbank Campus",Southbank,-37.8247391,144.9701685
"University of Melbourne, Shepparton Campus",Shepparton,-36.3621944,145.4061609
"Victoria University, Footscray Park Campus",Footscray,-37.7937398,144.8985171
"Victoria University, City Flinders Campus",Melbourne,-37.8180133,144.9640632
"Victoria University, City Flinders Lane Campus",Melbourne,-37.8175435,144.9639995
"Victoria University, City King Campus",Melbourne,-37.81490979999999,144.9547963
"Victoria University, City Queen Campus",Melbourne,-37.8124718,144.9599144
"Victoria University, Footscray Nicholson Campus",Footscray,-37.8045059,144.8984888
"Victoria University, St Albans Campus",St Albans,-37.7522655,144.7979192
"Victoria University, Sunshine Campus",Sunshine North,-37.7773774,144.8352895
"Victoria University, Werribee Campus",Werribee,-37.8944969,144.7023342
